label,Feature 0,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13
odroid4,88.8,89.1,85.5,84.6,84.3,83.9,84.4,84.0,84.3,84.3,84.0,84.5,84.4,84.6
odroid4,88.6,95.2,85.1,84.6,84.3,83.7,83.8,84.1,85.4,84.1,85.2,84.0,84.2,84.2
odroid4,88.7,89.2,86.4,84.2,84.3,84.3,84.1,84.4,84.2,84.3,84.0,84.0,84.1,84.4
odroid4,88.3,87.8,86.0,84.2,84.3,84.3,84.1,83.7,84.9,84.3,84.0,84.8,84.1,84.2
odroid4,89.6,87.0,86.2,84.8,84.4,84.0,84.4,84.3,84.4,84.5,84.3,84.0,84.2,84.2
odroid4,89.4,88.0,85.2,84.2,84.6,84.5,84.3,84.1,83.5,84.2,84.0,84.1,84.1,84.5
odroid4,89.2,90.0,85.7,84.2,84.5,84.3,84.3,84.9,84.0,84.3,84.4,84.0,84.0,84.2
odroid4,89.1,88.6,85.7,84.3,84.8,84.2,85.2,84.4,84.2,84.3,84.7,84.8,84.4,84.3
odroid4,88.9,89.6,85.8,84.8,84.1,84.2,84.7,83.9,85.6,84.6,84.3,84.1,84.0,84.5
odroid4,89.5,88.6,86.5,84.2,84.2,84.8,84.7,84.4,84.0,84.6,84.8,84.2,84.6,84.1
odroid4,89.5,88.9,86.1,84.2,84.6,84.8,84.6,84.4,84.9,84.5,84.4,84.4,84.5,84.3
odroid4,88.8,89.9,85.3,83.6,83.9,84.0,84.6,84.1,84.3,84.1,83.8,83.7,83.9,84.2
odroid4,89.1,91.7,85.4,84.1,84.2,84.2,84.3,84.5,84.4,84.2,84.1,84.0,84.6,84.1
odroid4,89.4,91.0,86.2,84.5,84.7,84.5,84.4,84.7,84.3,84.6,84.2,84.2,84.1,84.7
odroid4,89.2,93.3,85.8,84.5,84.7,84.3,84.6,85.0,84.6,84.5,84.3,84.5,84.6,83.9
odroid4,89.0,87.6,86.6,84.4,84.4,84.5,84.3,84.5,84.5,84.2,84.2,84.1,84.3,84.3
odroid4,98.3,86.8,85.4,84.6,84.2,84.1,84.0,84.6,84.5,84.2,83.7,84.3,84.0,84.1
odroid4,88.6,90.8,85.9,84.4,84.4,84.9,84.0,84.0,84.1,84.5,84.2,84.4,84.1,84.3
odroid4,89.1,97.3,85.8,84.9,84.3,84.5,83.8,84.4,84.4,84.7,85.0,84.0,84.5,84.5
odroid4,88.9,89.5,85.8,84.6,84.5,83.9,84.3,84.6,84.4,84.6,84.7,84.1,84.9,84.2
odroid4,88.7,88.5,85.4,84.2,84.3,84.3,84.4,85.0,84.0,84.3,84.3,83.5,83.9,84.8
odroid4,89.1,88.7,85.0,83.5,83.4,84.4,84.2,83.9,84.6,83.8,84.0,83.7,84.2,83.9
odroid4,88.8,88.6,85.8,84.3,84.4,84.6,84.3,84.7,84.8,84.4,84.9,84.4,84.4,84.3
odroid4,94.9,87.8,86.3,83.7,83.8,84.5,84.0,84.3,84.1,83.9,84.2,84.1,84.3,83.8
